SubjectId,Name,ParentId,Level,SubjectIndex,ParentIndex
3,Maths,,0,0,
32,Number,3.0,1,1,0.0
33,BIDMAS,144.0,3,2,98.0
34,Upper and Lower Bounds,141.0,3,3,96.0
35,Calculator Use,32.0,2,4,1.0
36,Decimals,32.0,2,5,1.0
37,"Factors, Multiples and Primes",32.0,2,6,1.0
38,"Fractions, Decimals and Percentage Equivalence",32.0,2,7,1.0
39,Fractions,32.0,2,8,1.0
40,"Indices, Powers and Roots",32.0,2,9,1.0
41,Basic Money,331.0,3,10,232.0
42,Negative Numbers,32.0,2,11,1.0
44,Percentages,32.0,2,12,1.0
45,Proportion,32.0,2,13,1.0
46,Ratio,32.0,2,14,1.0
47,Standard Form,40.0,3,15,9.0
48,Surds,32.0,2,16,1.0
49,Algebra,3.0,1,17,0.0
50,Expanding Single Brackets,152.0,3,18,102.0
51,Expanding Double Brackets,152.0,3,19,102.0
52,Factorising into a Single Bracket,153.0,3,20,103.0
53,Factorising into a Double Bracket,153.0,3,21,103.0
54,Straight Line Graphs,49.0,2,22,17.0
55,Quadratic Graphs,49.0,2,23,17.0
56,Graphs of Trigonometric Functions,158.0,3,24,107.0
57,Cubics and Reciprocals,158.0,3,25,107.0
58,Real Life Graphs,158.0,3,26,107.0
59,Inequalities,49.0,2,27,17.0
60,Rearranging Formula and Equations,156.0,3,28,105.0
61,Sequences,49.0,2,29,17.0
62,Writing and Simplifying Expressions,49.0,2,30,17.0
63,Simultaneous Equations,154.0,3,31,104.0
64,Linear Equations,154.0,3,32,104.0
65,Quadratic Equations,154.0,3,33,104.0
66,Solving Other Powers of x,154.0,3,34,104.0
67,Substitution into Formula,156.0,3,35,105.0
68,Transformation of Functions,49.0,2,36,17.0
69,Trial and Improvement and Iterative Methods,154.0,3,37,104.0
70,Writing Expressions,62.0,3,38,30.0
71,Geometry and Measure,3.0,1,39,0.0
72,3D Pythagoras,271.0,3,40,214.0
73,"Types, Naming and Estimating",74.0,3,41,42.0
74,Angles,71.0,2,42,39.0
75,Area of Simple Shapes,178.0,3,43,123.0
76,Bearings,74.0,3,44,42.0
77,Circles,71.0,2,45,39.0
78,Circle Theorems,74.0,3,46,42.0
79,Compound Measures,71.0,2,47,39.0
80,Congruency in Triangles,272.0,3,48,215.0
81,Co-ordinates,49.0,2,49,17.0
83,"Construction, Loci and Scale Drawing",71.0,2,50,39.0
84,Properties of Polygons,174.0,3,51,119.0
85,Nets,176.0,3,52,121.0
86,Perimeter,178.0,3,53,123.0
87,Plans and Elevations,176.0,3,54,121.0
88,Properties of Quadrilaterals,174.0,3,55,119.0
89,2D Pythagoras,271.0,3,56,214.0
90,Length Scale Factors in Similar Shapes,272.0,3,57,215.0
91,Symmetry,71.0,2,58,39.0
92,Reflection,278.0,3,59,221.0
93,Rotation,278.0,3,60,221.0
94,Enlargement,278.0,3,61,221.0
95,Translation and Vectors,278.0,3,62,221.0
96,Combined Transformations,278.0,3,63,221.0
97,Basic Trigonometry,71.0,2,64,39.0
98,Units of Measurement,71.0,2,65,39.0
99,Basic Vectors,71.0,2,66,39.0
100,Volume and Surface Area,71.0,2,67,39.0
101,Data and Statistics,3.0,1,68,0.0
102,"Averages (mean, median, mode) from a List of Data",338.0,3,69,238.0
103,Averages and Range from Grouped Data,338.0,3,70,238.0
104,Box Plots,342.0,3,71,242.0
105,Cumulative Frequency Diagram,342.0,3,72,242.0
106,Block Graphs and Bar Charts,342.0,3,73,242.0
107,Histogram,342.0,3,74,242.0
108,Pictogram,342.0,3,75,242.0
109,Pie Chart,342.0,3,76,242.0
110,Experimental Probability and Relative Frequency,348.0,3,77,245.0
111,Probability of Single Events,348.0,3,78,245.0
112,Tree Diagrams with Dependent Events,348.0,3,79,245.0
113,Data Collection,101.0,2,80,68.0
114,Sampling and Bias,338.0,3,81,238.0
115,Scatter Diagram,342.0,3,82,242.0
116,Stem and Leaf Diagram,342.0,3,83,242.0
117,Time Series and Line Graphs,342.0,3,84,242.0
118,Two Way Tables,342.0,3,85,242.0
119,Advanced Pure,3.0,1,86,0.0
120,Factor Theorem,142.0,3,87,97.0
126,Differentiation,119.0,2,88,86.0
128,Exponentials and Logarithms,119.0,2,89,86.0
129,Integration,119.0,2,90,86.0
130,Matrices,119.0,2,91,86.0
131,Modulus Function,146.0,3,92,99.0
137,Sequences and Series,119.0,2,93,86.0
139,Advanced Trigonometry,119.0,2,94,86.0
140,Advanced Vectors,119.0,2,95,86.0
141,Rounding and Estimating,32.0,2,96,1.0
142,Advanced Algebra,119.0,2,97,86.0
144,Basic Arithmetic,32.0,2,98,1.0
146,Functions,119.0,2,99,86.0
149,Advanced Mechanics,3.0,1,100,0.0
151,Advanced Statistics,3.0,1,101,0.0
152,Expanding Brackets,49.0,2,102,17.0
153,Factorising,49.0,2,103,17.0
154,Solving Equations,49.0,2,104,17.0
156,Formula,49.0,2,105,17.0
157,Writing Formula,156.0,3,106,105.0
158,Other Graphs,49.0,2,107,17.0
159,Equation of a Circle,158.0,3,108,107.0
160,Graphs of Exponentials and Other Powers of x,158.0,3,109,107.0
163,Transformations of functions in the form y =,68.0,3,110,36.0
164,Transformations of functions in the form f(x),68.0,3,111,36.0
165,Inequalities on Number Lines,59.0,3,112,27.0
166,Solving Linear Inequalities,59.0,3,113,27.0
167,Graphing Linear Inequalities (Shading Regions),59.0,3,114,27.0
168,Solving Quadratic Inequalities,59.0,3,115,27.0
171,Linear Sequences (nth term),61.0,3,116,29.0
172,Quadratic Sequences,61.0,3,117,29.0
173,Other Sequences,61.0,3,118,29.0
174,2D Names and Properties of Shapes,71.0,2,119,39.0
175,Properties of Triangles,174.0,3,120,119.0
176,3D Shapes,71.0,2,121,39.0
177,Names and Properties of 3D Shapes,176.0,3,122,121.0
178,Perimeter and Area,71.0,2,123,39.0
179,Compound Area,178.0,3,124,123.0
180,Measuring Angles,74.0,3,125,42.0
181,"Basic Angle Facts (straight line, opposite, around a point, etc)",74.0,3,126,42.0
182,Angle Facts with Parallel Lines,74.0,3,127,42.0
183,Angles in Polygons,74.0,3,128,42.0
184,Parts of a Circle,77.0,3,129,45.0
185,Circumference,77.0,3,130,45.0
186,Area of a Circle,77.0,3,131,45.0
187,Sectors of a Circle,77.0,3,132,45.0
188,Surface Area of Prisms,100.0,3,133,67.0
189,Volume of Prisms,100.0,3,134,67.0
190,Construct Angle,83.0,3,135,50.0
191,Construct Triangle,83.0,3,136,50.0
192,Construct Angle and Line Bisectors,83.0,3,137,50.0
193,Loci Scenarios,83.0,3,138,50.0
195,Length Units,98.0,3,139,65.0
196,Area Units,98.0,3,140,65.0
197,Volume and Capacity Units,98.0,3,141,65.0
198,Weight Units,98.0,3,142,65.0
199,Temperature units,98.0,3,143,65.0
200,Counting,144.0,3,144,98.0
202,Place Value,144.0,3,145,98.0
203,Mental Addition and Subtraction,144.0,3,146,98.0
204,Mental Multiplication and Division,144.0,3,147,98.0
205,Written Addition,144.0,3,148,98.0
206,Written Subtraction,144.0,3,149,98.0
207,Written Multiplication,144.0,3,150,98.0
208,Written Division,144.0,3,151,98.0
209,Time,98.0,3,152,65.0
210,Ordering Negative Numbers,42.0,3,153,11.0
211,Adding and Subtracting Negative Numbers,42.0,3,154,11.0
212,Multiplying and Dividing Negative Numbers,42.0,3,155,11.0
213,"Rounding to the Nearest Whole (10, 100, etc)",141.0,3,156,96.0
214,Rounding to Decimal Places,141.0,3,157,96.0
215,Rounding to Significant Figures,141.0,3,158,96.0
216,Estimation,141.0,3,159,96.0
217,Basic Calculator Use,35.0,3,160,4.0
218,Advanced Calculator Use,35.0,3,161,4.0
219,Factors and Highest Common Factor,37.0,3,162,6.0
220,Multiples and Lowest Common Multiple,37.0,3,163,6.0
221,Prime Numbers and Prime Factors,37.0,3,164,6.0
222,Ordering Decimals,36.0,3,165,5.0
223,Adding and Subtracting with Decimals,36.0,3,166,5.0
